segment,stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
Loyal Customers,21803,CHRISTMAS TREE STAR DECORATION,250,105.0,11,11
Loyal Customers,21804,WHITE CHRISTMAS GARLAND STARS TREES,106,397.5,18,14
Loyal Customers,21805,WHITE CHRISTMAS TREE DECORATION ,162,68.03999999999999,12,12
Loyal Customers,21806,WHITE CHRISTMAS HEART DECORATION,341,143.22,17,16
Loyal Customers,21807,WHITE CHRISTMAS STAR DECORATION,376,157.92,17,16
Loyal Customers,21808,"CHRISTMAS GARLAND STARS,TREES",207,506.25,19,16
Loyal Customers,21809,CHRISTMAS HANGING TREE WITH BELL,352,237.04,16,12
Loyal Customers,21810,CHRISTMAS HANGING STAR WITH BELL,709,432.16999999999996,23,15
Loyal Customers,21811,CHRISTMAS HANGING HEART WITH BELL,470,587.5,28,24
Loyal Customers,21811,HANGING HEART WITH BELL,353,172.93,13,10
Loyal Customers,21812,GARLAND WITH HEARTS AND BELLS,103,509.85,21,18
Loyal Customers,21813,GARLAND WITH STARS AND BELLS,57,282.15000000000003,8,7
Loyal Customers,21814,HEART T-LIGHT HOLDER ,73,105.85,7,7
Loyal Customers,21815, STAR  T-LIGHT HOLDER ,1,1.45,1,1
Loyal Customers,21815,STAR  T-LIGHT HOLDER ,39,56.55,5,5
Loyal Customers,21816,CHRISTMAS TREE T-LIGHT HOLDER,19,27.55,4,4
Loyal Customers,21817,GLITTER CHRISTMAS TREE,190,128.38,10,10
Loyal Customers,21818,GLITTER CHRISTMAS HEART ,351,298.35,19,18
Loyal Customers,21818,GLITTER HEART DECORATION,263,126.95,10,9
Loyal Customers,21819,GLITTER CHRISTMAS STAR ,431,299.65,21,19
Loyal Customers,21820,GLITTER HEART GARLAND WITH BELLS ,91,341.25,18,16
Loyal Customers,21821,GLITTER STAR GARLAND WITH BELLS ,98,367.5,22,19
Loyal Customers,21822,GLITTER CHRISTMAS TREE WITH BELLS,114,159.66,8,7
Loyal Customers,21823,PAINTED METAL HEART WITH HOLLY BELL,339,389.78999999999996,27,21
Loyal Customers,21824,PAINTED METAL STAR WITH HOLLY BELLS,246,280.38,20,18
Loyal Customers,21825,PAINTED METAL TREE WITH HOLLY BELLS,142,205.89999999999998,14,12
Loyal Customers,21826,EIGHT PIECE DINOSAUR SET,238,297.5,36,28
Loyal Customers,21827,EIGHT PIECE CREEPY CRAWLIE SET,161,201.25,25,20
Loyal Customers,21828,EIGHT PIECE SNAKE  SET,119,148.75,25,20
Loyal Customers,21829,DINOSAUR KEYRINGS ASSORTED,2988,614.52,55,40
Loyal Customers,21830,ASSORTED CREEPY CRAWLIES,1428,599.76,42,29
Loyal Customers,21832,CHOCOLATE CALCULATOR,359,592.35,30,24
Loyal Customers,21833,CAMOUFLAGE LED TORCH,1209,1961.6100000000001,56,36
Loyal Customers,21836,GINGHAM OVEN GLOVE RED HEART ,38,142.5,15,15
Loyal Customers,21837,CROSS STITCH ALPHABET CUSHION COVER,33,196.35000000000002,11,8
Loyal Customers,21839,MUMMY MOUSE RED GINGHAM RIBBON,66,341.70000000000005,13,12
Loyal Customers,21841,BABY MOUSE RED GINGHAM DRESS,34,144.5,14,14
Loyal Customers,21842,PINK HEART CANDY BUTTON CALCULATOR,6,15.299999999999997,2,1
Loyal Customers,21843,RED RETROSPOT CAKE STAND,359,3883.0499999999997,142,76
Loyal Customers,21843,RETRO SPOT CAKE STAND,126,1355.6999999999998,45,36
Loyal Customers,21844,RED RETROSPOT MUG,287,817.8500000000001,38,30
Loyal Customers,21844,RETRO SPOT MUG,157,448.75000000000006,17,16
Loyal Customers,21845,DAIRY MAID STRIPE MUG,259,241.33,17,15
Loyal Customers,21846,PINK DIAMANTE PEN IN GIFT BOX,109,256.35,7,7
Loyal Customers,21847,GREEN  DIAMANTE PEN IN GIFT BOX,4,19.8,2,2
Loyal Customers,21849,SILVER DIAMANTE PEN IN GIFT BOX,33,146.55,6,6
Loyal Customers,21850,BLUE  DIAMANTE PEN IN GIFT BOX,55,94.65,6,6
Loyal Customers,21851,LILAC DIAMANTE PEN IN GIFT BOX,10,49.5,6,6
Loyal Customers,21852,EMPIRE TEDDY,1,6.95,1,1
Loyal Customers,21864,UNION JACK FLAG PASSPORT COVER ,138,279.96000000000004,30,23
Loyal Customers,21865,PINK UNION JACK  PASSPORT COVER ,136,285.6,26,16
Loyal Customers,21866,UNION JACK FLAG LUGGAGE TAG,242,302.5,41,29
Loyal Customers,21867,PINK UNION JACK  LUGGAGE TAG,188,235.0,32,20
Loyal Customers,21868,POTTING SHED TEA MUG,1247,1532.59,100,58
Loyal Customers,21869,POTTING SHED COFFEE MUG,169,197.57,13,12
Loyal Customers,21870,I CAN ONLY PLEASE ONE PERSON MUG,764,955.0,71,35
Loyal Customers,21871,SAVE THE PLANET MUG,467,588.95,51,40
Loyal Customers,21872,GLAMOROUS  MUG,204,255.0,33,25
Loyal Customers,21873,IF YOU CAN'T STAND THE HEAT MUG,149,126.49,16,15
Loyal Customers,21874,GIN AND TONIC MUG,638,766.46,47,26
Loyal Customers,21875,KINGS CHOICE MUG,379,439.55,30,22
Loyal Customers,21876,POTTERING MUG,593,731.77,60,41
Loyal Customers,21877,HOME SWEET HOME MUG,638,812.7,68,47
Loyal Customers,21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,761,620.85,48,38
Loyal Customers,21879,HEARTS GIFT TAPE,60,16.92,3,3
Loyal Customers,21880,RED AND WHITE SPOT TAPE,13,8.450000000000001,2,2
Loyal Customers,21880,RED RETROSPOT TAPE,127,71.51,11,9
Loyal Customers,21881,CUTE CATS TAPE,61,28.610000000000003,5,5
Loyal Customers,21882,SKULLS TAPE,57,26.01,6,6
Loyal Customers,21883,STARS GIFT TAPE ,164,84.52000000000001,14,13
Loyal Customers,21884,CAKES AND BOWS GIFT  TAPE,39,25.35,6,6
Loyal Customers,21888,BINGO SET,474,1751.58,96,75
Loyal Customers,21889,WOODEN BOX OF DOMINOES,1140,1397.6399999999999,104,81
Loyal Customers,21890,S/6 WOODEN SKITTLES IN COTTON BAG,338,1023.5000000000001,63,57
Loyal Customers,21891,TRADITIONAL WOODEN SKIPPING ROPE,1192,1458.52,96,81
Loyal Customers,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1215,1409.31,81,67
Loyal Customers,21893,POTTING SHED SEED TIN,1,4.25,1,1
Loyal Customers,21894,POTTING SHED SEED ENVELOPES,142,177.5,23,20
Loyal Customers,21895,POTTING SHED SOW 'N' GROW SET,81,320.25,10,10
Loyal Customers,21896,POTTING SHED TWINE,117,245.70000000000002,26,25
Loyal Customers,21897,POTTING SHED CANDLE CITRONELLA,79,233.05,21,17
Loyal Customers,21898,POTTING SHED ROSE CANDLE,61,179.95000000000002,16,12
Loyal Customers,21899,GARAGE KEY FOB,51,33.15,8,8
Loyal Customers,21899,"KEY FOB , GARAGE DESIGN",932,605.8,79,53
Loyal Customers,21900,"KEY FOB , SHED",1354,880.1,107,67
Loyal Customers,21901,"KEY FOB , BACK DOOR ",880,572.0,86,58
Loyal Customers,21902,"KEY FOB , FRONT  DOOR ",583,378.95,56,40
Loyal Customers,21903,MAN FLU METAL SIGN,295,619.5000000000001,56,36
Loyal Customers,21904,HOUSE WRECKING METAL SIGN ,126,204.60000000000002,26,22
Loyal Customers,21905,MORE BUTTER METAL SIGN ,96,146.58,32,19
Loyal Customers,21906,PHARMACIE FIRST AID TIN,92,595.4,33,26
Loyal Customers,21907,I'M ON HOLIDAY METAL SIGN,983,2040.3000000000002,131,75
Loyal Customers,21908,CHOCOLATE THIS WAY METAL SIGN,939,1935.9,122,64
Loyal Customers,21910,WAY OUT METAL SIGN ,55,90.75,19,15
Loyal Customers,21911,GARDEN METAL SIGN ,247,407.55,49,40
Loyal Customers,21912,VINTAGE SNAKES & LADDERS,389,1458.75,99,78
Loyal Customers,21913,VINTAGE SEASIDE JIGSAW PUZZLES,73,273.75,25,24
Loyal Customers,21914,BLUE HARMONICA IN BOX ,1811,2218.15,106,66
Loyal Customers,21915,RED  HARMONICA IN BOX ,1691,2068.15,111,70
Loyal Customers,21916,SET 12 RETRO WHITE CHALK STICKS,1146,481.32,60,34
Loyal Customers,21917,SET 12 KIDS  WHITE CHALK STICKS,1477,603.0600000000001,46,32
Loyal Customers,21918,SET 12 KIDS COLOUR  CHALK STICKS,2581,1049.46,83,58
Loyal Customers,21922,UNION STRIPE WITH FRINGE  HAMMOCK,171,1311.45,52,34
Loyal Customers,21923,RED/CREAM STRIPE FRINGE HAMMOCK,60,453.0,23,16
Loyal Customers,21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,53,409.35,26,13
Loyal Customers,21925,UNION STRIPE CUSHION COVER ,243,303.75,28,22
Loyal Customers,21926,RED/CREAM STRIPE CUSHION COVER ,129,161.25,16,14
Loyal Customers,21927,BLUE/CREAM STRIPE CUSHION COVER ,102,127.5,16,14
Loyal Customers,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,817,1542.4,44,32
Loyal Customers,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1351,2454.45,95,54
Loyal Customers,21929,JUMBO BAG PINK VINTAGE PAISLEY,4099,7483.92,156,78
Loyal Customers,21930,JUMBO STORAGE BAG SKULLS,743,1444.72,94,51
Loyal Customers,21931,JUMBO STORAGE BAG SUKI,2806,5209.56,189,79
Loyal Customers,21932,SCANDINAVIAN PAISLEY PICNIC BAG,418,844.4,59,43
Loyal Customers,21933,PINK VINTAGE PAISLEY PICNIC BAG,395,873.55,50,41
Loyal Customers,21934,SKULL SHOULDER BAG,304,481.59999999999997,26,23
Loyal Customers,21935,SUKI  SHOULDER BAG,406,669.9,43,35
Loyal Customers,21936,RED RETROSPOT PICNIC BAG,579,1648.05,82,55
Loyal Customers,21936,RED/WHITE SPOT PICNIC BAG,44,129.8,7,7
Loyal Customers,21937,STRAWBERRY   PICNIC BAG,239,705.0500000000001,49,30
Loyal Customers,21942,SKULLS DESIGN FLANNEL,615,252.02999999999997,6,6
Loyal Customers,21943,CAKES AND RABBITS DESIGN FLANNEL ,40,34.0,6,5
Loyal Customers,21944,KITTENS DESIGN FLANNEL,606,243.45999999999998,7,7
Loyal Customers,21945,STRAWBERRIES  DESIGN FLANNEL ,640,273.28,8,8
Loyal Customers,21946,PARTY TIME DESIGN FLANNEL,1,0.85,1,1
Loyal Customers,21947,SET OF 6 HEART CHOPSTICKS,140,175.0,19,18
Loyal Customers,21948,SET OF 6 CAKE CHOPSTICKS,87,108.75,7,7
Loyal Customers,21949,SET OF 6 STRAWBERRY CHOPSTICKS,161,178.45,9,8
Loyal Customers,21955,  DOORMAT UNION JACK GUNS AND ROSES,30,202.5,9,7
Loyal Customers,21955,DOOR MAT UNION JACK GUNS AND ROSES,65,464.05,23,16
Loyal Customers,21955,DOORMAT UNION JACK GUNS AND ROSES,83,627.07,37,23
Loyal Customers,21955,UNION JACK GUNS & ROSES  DOORMAT,21,133.75,5,5
Loyal Customers,21967,PACK OF 12 SKULL TISSUES,3848,1007.06,50,35
Loyal Customers,21972,SET OF 36 DINOSAUR PAPER DOILIES,76,110.19999999999999,14,12
Loyal Customers,21973,SET OF 36 MUSHROOM PAPER DOILIES,120,174.0,10,10
Loyal Customers,21974,SET OF 36 PAISLEY FLOWER DOILIES,718,1039.55,74,48
Loyal Customers,21975,PACK OF 60 DINOSAUR CAKE CASES,10539,4568.85,151,80
Loyal Customers,21976,PACK OF 60 MUSHROOM CAKE CASES,1170,612.3,77,54
Loyal Customers,21977,PACK OF 60 PINK PAISLEY CAKE CASES,12025,5323.0,192,104
Loyal Customers,21980,PACK OF 12 RED RETROSPOT TISSUES ,638,194.61999999999998,34,29
Loyal Customers,21980,PACK OF 12 RED SPOTTY TISSUES ,1136,312.15999999999997,28,25
Loyal Customers,21981,PACK OF 12 WOODLAND TISSUES ,1537,430.84999999999997,44,36
Loyal Customers,21982,PACK OF 12 SUKI TISSUES ,1647,461.54999999999995,50,38
Loyal Customers,21983,PACK OF 12 BLUE PAISLEY TISSUES ,652,192.77999999999997,30,25
Loyal Customers,21984,PACK OF 12 PINK PAISLEY TISSUES ,1022,281.5,37,31
Loyal Customers,21985,PACK OF 12 HEARTS DESIGN TISSUES ,2220,640.02,83,62
Loyal Customers,21986,PACK OF 12 PINK POLKADOT TISSUES,274,79.46,19,16
Loyal Customers,21986,PACK OF 12 PINK SPOT TISSUES ,782,209.49999999999997,20,17
Loyal Customers,21987,PACK OF 6 SKULL PAPER CUPS,1374,763.5,37,28
Loyal Customers,21988,PACK OF 6 SKULL PAPER PLATES,1359,933.39,38,29
Loyal Customers,21989,PACK OF 20 SKULL PAPER NAPKINS,1345,921.49,42,34
Loyal Customers,21990,MODERN FLORAL STATIONERY SET,151,224.45,19,18
Loyal Customers,21991,BOHEMIAN COLLAGE STATIONERY SET,98,151.4,14,13
Loyal Customers,21992,VINTAGE PAISLEY STATIONERY SET,238,377.40000000000003,35,31
Loyal Customers,21993,FLORAL FOLK STATIONERY SET,189,314.45,35,30
Loyal Customers,22021,BLUE FELT EASTER EGG BASKET,183,291.15,32,28
Loyal Customers,22023,EMPIRE BIRTHDAY CARD,444,186.48,30,26
Loyal Customers,22024,RAINY LADIES BIRTHDAY CARD,372,156.24,25,17
Loyal Customers,22025,RING OF ROSES BIRTHDAY CARD,216,90.72,16,14
Loyal Customers,22026,BANQUET BIRTHDAY  CARD  ,408,171.35999999999999,28,23
Loyal Customers,22027,TEA PARTY BIRTHDAY CARD,1289,532.74,71,43
Loyal Customers,22028,PENNY FARTHING BIRTHDAY CARD,480,197.28,30,18
Loyal Customers,22029,SPACE BOY BIRTHDAY CARD,84,35.28,6,6
Loyal Customers,22029,SPACEBOY BIRTHDAY CARD,1153,475.62,77,51
Loyal Customers,22030,SWALLOWS GREETING CARD,1117,464.82,69,50
Loyal Customers,22031,BOTANICAL LAVENDER BIRTHDAY CARD,108,45.36,8,7
Loyal Customers,22032,BOTANICAL LILY GREETING CARD,48,20.16,4,4
Loyal Customers,22033,BOTANICAL ROSE GREETING CARD,204,85.67999999999999,13,9
Loyal Customers,22034,ROBIN CHRISTMAS CARD,126,52.92,9,9
Loyal Customers,22035,VINTAGE CARAVAN GREETING CARD ,528,217.44,34,22
Loyal Customers,22036,DINOSAUR BIRTHDAY CARD,192,80.64,12,10
Loyal Customers,22037,ROBOT BIRTHDAY CARD,588,246.96,45,35
Loyal Customers,22038,BOTANICAL LAVENDER GIFT WRAP ,100,42.0,4,4
Loyal Customers,22039,BOTANICAL LILY GIFT WRAP,175,73.5,3,2
Loyal Customers,22040,BOTANICAL ROSE GIFT WRAP,165,69.3,7,7
Loyal Customers,22041,"RECORD FRAME 7"" SINGLE SIZE ",580,1263.0,25,11
Loyal Customers,22042,CHRISTMAS CARD SINGING ANGEL,300,109.44,13,13
Loyal Customers,22043,CHRISTMAS CARD SCREEN PRINT ,216,63.12,9,9
Loyal Customers,22044,CHRISTMAS CARD STACK OF PRESENTS,204,44.28,6,6
Loyal Customers,22045,SPACE BOY GIFT WRAP,100,42.0,4,4
Loyal Customers,22045,SPACEBOY GIFT WRAP,1600,672.0,58,44
Loyal Customers,22046,TEA PARTY  WRAPPING PAPER ,550,231.0,22,18
Loyal Customers,22047,EMPIRE GIFT WRAP,775,325.5,29,25
Loyal Customers,22048,BIRTHDAY BANQUET GIFT WRAP,275,115.5,11,11
Loyal Customers,22049,WRAP CHRISTMAS SCREEN PRINT,350,78.0,6,5
Loyal Customers,22050,PINK PAISLEY ROSE GIFT WRAP,425,178.5,15,14
Loyal Customers,22051,BLUE SCANDINAVIAN PAISLEY WRAP,400,168.0,15,13
Loyal Customers,22052,VINTAGE CARAVAN GIFT WRAP,550,231.0,21,20
Loyal Customers,22053,EMPIRE DESIGN ROSETTE,4024,3350.42,12,11
Loyal Customers,22054,MINI CAKE STAND HANGING HEARTS,15,24.75,4,3
Loyal Customers,22055,MINI CAKE STAND  HANGING STRAWBERY,1072,1605.6999999999998,57,26
Loyal Customers,22056,CERAMIC PLATE LOVE HEART DESIGN,24,35.760000000000005,3,3
Loyal Customers,22057,CERAMIC PLATE STRAWBERRY DESIGN,155,226.54999999999998,27,19
Loyal Customers,22058,CERAMIC LOVE HEARTS DESIGN MUG,77,114.73,14,10
Loyal Customers,22059,CERAMIC STRAWBERRY DESIGN MUG,213,312.96999999999997,33,16
Loyal Customers,22059,CERAMIC STRWBERRY DESIGN MUG,115,171.35,23,14
Loyal Customers,22060,LARGE CAKE STAND HANGING HEARTS,90,752.6999999999999,24,16
Loyal Customers,22061,LARGE CAKE STAND  HANGING STRAWBERY,199,1846.6499999999999,59,32
Loyal Customers,22062,CERAMIC BOWL WITH LOVE HEART DESIGN,75,168.69,7,6
Loyal Customers,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,248,688.4000000000001,39,21
Loyal Customers,22064,PINK DOUGHNUT TRINKET POT ,805,1226.25,47,24
Loyal Customers,22065,CHRISTMAS PUDDING TRINKET POT ,327,352.19,30,24
Loyal Customers,22066,LOVE HEART TRINKET POT,430,402.9,33,25
Loyal Customers,22067,CHOC TRUFFLE GOLD TRINKET POT ,95,156.75,14,9
Loyal Customers,22068, BLACK PIRATE TREASURE CHEST,10,16.5,3,3
Loyal Customers,22068,BLACK PIRATE TREASURE CHEST,112,182.28,22,17
Loyal Customers,22069, BROWN  PIRATE TREASURE CHEST ,2,3.3,1,1
Loyal Customers,22069,BROWN  PIRATE TREASURE CHEST ,114,188.1,14,11
Loyal Customers,22070,SMALL RED RETROSPOT MUG IN BOX ,94,352.5,28,23
Loyal Customers,22070,SMALL RETRO SPOT MUG IN BOX  RED,35,131.25,10,10
Loyal Customers,22071,SMALL RETRO SPOT MUG IN BOX  WHITE,111,390.33000000000004,12,12
Loyal Customers,22071,SMALL WHITE RETROSPOT MUG IN BOX ,83,311.25,28,26
Loyal Customers,22072,RED RETROSPOT TEA CUP AND SAUCER ,202,748.86,45,22
Loyal Customers,22072,TEA CUP AND SAUCER RETRO SPOT,32,120.0,12,8
Loyal Customers,22073,RED RETROSPOT STORAGE JAR,178,650.22,33,20
Loyal Customers,22073,RETRO SPOT STORAGE JAR,67,239.73000000000002,12,10
Loyal Customers,22074,6 RIBBONS SHIMMERING PINKS ,327,314.43,20,18
Loyal Customers,22075,6 RIBBONS ELEGANT CHRISTMAS ,381,599.85,32,29
Loyal Customers,22076,6 RIBBONS EMPIRE  ,265,437.25,33,28
Loyal Customers,22077,6 RIBBONS RUSTIC CHARM,1285,2188.05,143,89
Loyal Customers,22078,RIBBON REEL LACE DESIGN ,390,819.0,46,32
Loyal Customers,22079,RIBBON REEL HEARTS DESIGN ,590,973.5,68,49
Loyal Customers,22080,RIBBON REEL POLKADOTS ,288,475.2,29,24
Loyal Customers,22080,RIBBON REEL SPOTS DESIGN ,288,475.2,38,33
Loyal Customers,22081,RIBBON REEL FLORA + FAUNA ,211,348.15,30,22
Loyal Customers,22082,RIBBON REEL STRIPES DESIGN ,972,1603.8,125,72
Loyal Customers,22083,PAPER CHAIN KIT RETRO SPOT,619,1716.0500000000002,65,50
Loyal Customers,22083,PAPER CHAIN KIT RETROSPOT,684,1873.8000000000002,60,48
Loyal Customers,22084,PAPER CHAIN KIT EMPIRE,1434,3930.3,106,77
Loyal Customers,22085,PAPER CHAIN KIT SKULLS ,292,751.4,27,23
Loyal Customers,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2196,6037.0,163,107
Loyal Customers,22087,PAPER BUNTING WHITE LACE,1040,2868.75,85,50
Loyal Customers,22088,PAPER BUNTING COLOURED LACE,359,1019.8500000000001,62,46
Loyal Customers,22089,PAPER BUNTING VINTAGE PAISLEY,390,1112.45,63,48
Loyal Customers,22090,PAPER BUNTING RETRO SPOTS,729,1992.5500000000002,87,62
Loyal Customers,22090,PAPER BUNTING RETROSPOT,896,2435.2000000000003,81,59
Loyal Customers,22091,EMPIRE TISSUE BOX,354,277.72,29,22
Loyal Customers,22092,BLUE PAISLEY TISSUE BOX,54,28.8,13,12
Loyal Customers,22093,MOTORING TISSUE BOX,82,93.04,22,21
Loyal Customers,22094,RED POLKA DOT TISSUE BOX,54,67.5,6,6
Loyal Customers,22094,RED RETROSPOT TISSUE BOX,413,161.07000000000002,9,9
Loyal Customers,22095,LADS ONLY TISSUE BOX,229,207.39,25,18
Loyal Customers,22096,PINK PAISLEY SQUARE TISSUE BOX ,538,227.88000000000002,20,17
Loyal Customers,22097,SWALLOW SQUARE TISSUE BOX,224,203.46,29,25
Loyal Customers,22098,BOUDOIR SQUARE TISSUE BOX,180,165.06,32,29
Loyal Customers,22099,CARAVAN SQUARE TISSUE BOX,95,105.85,25,22
Loyal Customers,22100,SKULLS SQUARE TISSUE BOX,25,29.53,8,6
Loyal Customers,22101,MIRROR MOSAIC VOTIVE HOLDER,64,89.4,8,8
Loyal Customers,22102,MIRROR MOSAIC T-LIGHT HOLDER ,14,23.1,3,3
Loyal Customers,22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,99,146.55,5,4
Loyal Customers,22104,MIRROR MOSAIC CANDLE PLATE,110,159.5,11,7
Loyal Customers,22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,6,25.5,3,3
Loyal Customers,22107,PIZZA PLATE IN BOX,150,545.22,26,20
Loyal Customers,22108,PING! MICROWAVE PLATE,42,137.5,9,7
Loyal Customers,22109,FULL ENGLISH BREAKFAST PLATE,820,2916.6,61,27
Loyal Customers,22110,BIRD HOUSE HOT WATER BOTTLE,164,420.9,35,26
Loyal Customers,22111,SCOTTIE DOG HOT WATER BOTTLE,987,4566.45,172,100
Loyal Customers,22112,CHOCOLATE HOT WATER BOTTLE,1005,4672.35,173,93
Loyal Customers,22113,GREY HEART HOT WATER BOTTLE,691,2534.05,103,76
Loyal Customers,22114,HOT WATER BOTTLE TEA AND SYMPATHY,635,2475.55,148,85
Loyal Customers,22115,METAL SIGN EMPIRE TEA,282,497.1,45,31
Loyal Customers,22116,METAL SIGN HIS DINNER IS SERVED,149,207.95000000000002,23,19
Loyal Customers,22117,METAL SIGN HER DINNER IS SERVED ,115,314.05,41,24
Loyal Customers,22118,JOY WOODEN BLOCK LETTERS,79,391.05,39,31
Loyal Customers,22119, PEACE WOODEN BLOCK LETTERS,15,104.25,7,7
Loyal Customers,22119,PEACE WOODEN BLOCK LETTERS,110,742.9,33,28
Loyal Customers,22120,WELCOME  WOODEN BLOCK LETTERS,105,1044.75,47,34
Loyal Customers,22121,NOEL WOODEN BLOCK LETTERS ,159,928.0500000000001,43,37
Loyal Customers,22122,SET OF 2 FANCY FONT TEA TOWELS,89,262.55,20,14
Loyal Customers,22123,PING MICROWAVE APRON,43,95.85,6,6
Loyal Customers,22124,SET OF 2 TEA TOWELS PING MICROWAVE,47,138.65,5,5
Loyal Customers,22125,UNION JACK HOT WATER BOTTLE ,44,261.8,14,12
Loyal Customers,22127,PARTY CONES CARNIVAL ASSORTED,216,270.0,13,12
Loyal Customers,22128,PARTY CONES CANDY ASSORTED,498,599.7,25,20
Loyal Customers,22129,PARTY CONES CANDY TREE DECORATION,486,381.9,17,14
Loyal Customers,22130,PARTY CONE CHRISTMAS DECORATION ,1029,855.93,56,47
Loyal Customers,22131,FOOD CONTAINER SET 3 LOVE HEART ,222,430.79999999999995,46,30
Loyal Customers,22132,RED LOVE HEART SHAPE CUP,217,181.32999999999998,20,13
Loyal Customers,22133,PINK LOVE HEART SHAPE CUP,168,142.79999999999998,17,12
Loyal Customers,22134,LADLE LOVE HEART RED ,24,10.08,2,2
Loyal Customers,22134,MINI LADLE LOVE HEART RED ,12,5.04,1,1
Loyal Customers,22135,LADLE LOVE HEART PINK,36,15.120000000000001,3,3
Loyal Customers,22136,LOVE HEART SOCK HANGER,83,136.95,15,11
Loyal Customers,22137,BATHROOM SET LOVE HEART DESIGN,22,64.9,3,3
Loyal Customers,22138,BAKING SET 9 PIECE RETROSPOT ,886,4167.3,188,139
Loyal Customers,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,441,2132.55,98,66
Loyal Customers,22139,RETROSPOT TEA SET CERAMIC 11 PC ,501,2395.95,121,89
Loyal Customers,22141,CHRISTMAS CRAFT TREE TOP ANGEL,244,500.40000000000003,39,35
Loyal Customers,22142,CHRISTMAS CRAFT WHITE FAIRY ,291,413.95,33,29
Loyal Customers,22143,CHRISTMAS CRAFT HEART DECORATIONS,177,335.7,10,10
Loyal Customers,22144,CHRISTMAS CRAFT LITTLE FRIENDS,271,569.1,42,39
Loyal Customers,22145,CHRISTMAS CRAFT HEART STOCKING ,159,323.90000000000003,27,27
Loyal Customers,22146,EASTER CRAFT IVY WREATH WITH CHICK,205,375.75,21,21
Loyal Customers,22147,FELTCRAFT BUTTERFLY HEARTS,1473,2095.85,163,93
Loyal Customers,22148,EASTER CRAFT 4 CHICKS ,388,732.6,43,38
Loyal Customers,22149,FELTCRAFT 6 FLOWER FRIENDS,1716,3503.6,204,110
Loyal Customers,22150, 3 STRIPEY MICE FELTCRAFT,160,286.2,20,18
Loyal Customers,22150,3 STRIPEY MICE FELTCRAFT,791,1506.4499999999998,120,78
Loyal Customers,22151,PLACE SETTING WHITE HEART,3526,1455.0,74,49
Loyal Customers,22152,PLACE SETTING WHITE STAR,874,341.15999999999997,23,20
Loyal Customers,22153,ANGEL DECORATION STARS ON DRESS,398,167.16,15,14
Loyal Customers,22154,ANGEL DECORATION 3 BUTTONS ,575,241.5,20,17
Loyal Customers,22155,STAR DECORATION RUSTIC,301,126.42,19,18
Loyal Customers,22156,HEART DECORATION WITH PEARLS ,792,654.48,47,28
Loyal Customers,22157,ANGEL DECORATION WITH LACE PADDED,195,165.75,16,13
Loyal Customers,22158,3 HEARTS HANGING DECORATION RUSTIC,943,2679.4500000000003,85,58
Loyal Customers,22161,HEART DECORATION RUSTIC HANGING ,813,263.69,27,23
Loyal Customers,22162,HEART GARLAND RUSTIC PADDED,153,451.35,21,11
Loyal Customers,22163,HEART STRING MEMO HOLDER HANGING,89,236.63000000000002,10,10
Loyal Customers,22164,STRING OF STARS CARD HOLDER,57,168.15000000000003,8,7
Loyal Customers,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",38,357.29999999999995,11,11
Loyal Customers,22166,"WALL MIRROR , RECT DIAMANTE, PINK/",4,31.8,2,2
Loyal Customers,22166,WALL MIRROR RECTANGLE DIAMANTE PINK,16,127.2,5,4
Loyal Customers,22167, OVAL WALL MIRROR DIAMANTE ,23,228.85,9,6
Loyal Customers,22167,"WALL MIRROR , DIAMANTE OVAL SHAPE",50,408.1,12,10
Loyal Customers,22168,ORGANISER WOOD ANTIQUE WHITE ,70,595.0,45,37
Loyal Customers,22169,FAMILY ALBUM WHITE PICTURE FRAME,149,1252.9,61,33
Loyal Customers,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,233,1563.15,70,38
Loyal Customers,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,169,1436.5,76,40
Loyal Customers,22172,METAL SHELF WITH RAIL ,56,476.0,31,22
Loyal Customers,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,494,1457.98,102,63
Loyal Customers,22174,PHOTO CUBE,232,382.8,39,26
Loyal Customers,22175,PINK OWL SOFT TOY,124,365.80000000000007,39,21
Loyal Customers,22176,BLUE OWL SOFT TOY,119,351.05000000000007,34,21
Loyal Customers,22177,5 HOOK BLACKBOARD ORGANISER ,43,410.45,20,18
Loyal Customers,22178,VICTORIAN GLASS HANGING T-LIGHT,4893,5895.57,199,91
Loyal Customers,22179,SET 10 LIGHTS NIGHT OWL,244,1531.8,41,30
Loyal Customers,22179,SET 10 NIGHT OWL LIGHTS,19,128.25,10,10
Loyal Customers,22180,RETRO SPOT LAMP,115,1092.05,41,28
